,population
747,61.0
748,50.0
749,266.0
750,11000.0
751,275.0
752,0.0
753,30.0
754,21.0
755,43.0
756,0.0
757,7.0
758,275.0
759,400.0
760,3057.0
761,60.0
762,10.0
763,357.0
764,94.0
765,202.0
766,249.0
767,436.0
768,200.0
769,145.0
770,2.0
771,106.0
772,100.0
773,46.0
774,15.0
775,33.0
776,47.0
777,135.0
778,347.0
779,445.0
780,6.0
781,183.0
782,26.0
783,173.0
784,0.0
785,12000.0
786,16.0
787,71.0
788,290.0
789,50.0
790,41.0
791,2000.0
792,60.0
793,197.0
794,769.0
795,40.0
796,107.0
797,158.0
798,30.0
799,107.0
800,12.0
801,30.0
802,22079.0
803,0.0
804,15.0
805,1750.0
806,0.0
807,400.0
808,0.0
809,6.0
810,500.0
811,5000.0
812,1690.0
813,200.0
814,200.0
815,112.0
816,1917.0
817,11.0
818,25.0
819,133.0
820,0.0
821,116.0
822,300.0
823,10.0
824,169.0
825,0.0
826,10.0
827,150.0
828,1.0
829,0.0
830,24.0
831,15.0
832,150.0
833,26.0
834,203.0
835,1070.0
836,0.0
837,0.0
838,300.0
839,100.0
840,4.0
841,686.0
842,0.0
843,7.0
844,0.0
845,1.0
846,14.0
847,70.0
848,100.0
849,0.0
850,232.0
851,500.0
852,0.0
853,25.0
854,136.0
855,108.0
856,42.0
857,0.0
858,210.0
859,206.0
860,76.0
861,45.0
862,0.0
863,0.0
864,450.0
865,1.0
866,636.0
867,20.0
868,50.0
869,49.0
870,23.0
871,0.0
872,0.0
873,107.0
874,4.0
875,0.0
876,131.0
877,109.0
878,140.0
879,43.0
880,400.0
881,7000.0
882,250.0
883,0.0
884,0.0
885,45.0
886,48921.0
887,11.0
888,0.0
889,40.0
890,22.0
891,0.0
892,26.0
893,90.0
894,400.0
895,600.0
896,26.0
897,58.0
898,0.0
899,32.0
900,0.0
901,2.0
902,0.0
903,2000.0
904,2.0
905,70.0
906,5.0
907,0.0
908,0.0
909,71.0
910,1500000.0
911,100.0
912,20.0
913,55.0
914,37.0
915,8.0
916,142.0
917,147.0
918,0.0
919,323.0
920,75.0
921,27.0
922,34.0
923,100.0
924,0.0
925,6.0
926,10000.0
927,60.0
928,37.0
929,355.0
930,6.0
931,125.0
932,55.0
933,7.0
934,271.0
935,299.0
936,0.0
937,3.0
938,62.0
939,90.0
940,0.0
941,0.0
942,39.0
943,850.0
944,5.0
945,14.0
946,0.0
947,560.0
948,350.0
949,36.0
950,0.0
951,4.0
952,24.0
953,5.0
954,74.0
955,57.0
956,50.0
957,140.0
958,25.0
959,2.0
960,0.0
961,65.0
962,64.0
963,15.0
964,480.0
965,8000.0
966,176.0
967,1088.0
968,15.0
969,47.0
970,18.0
971,42.0
972,70.0
973,259.0
974,358.0
975,95.0
976,300.0
977,23.0
978,0.0
979,14.0
980,0.0
981,57.0
982,0.0
983,80.0
984,20.0
985,0.0
986,120.0
987,18.0
988,25.0
989,0.0
990,0.0
991,0.0
992,3.0
993,10.0
994,0.0
995,0.0
996,6.0
997,0.0
998,2430.0
999,36.0
1000,104.0
1001,262.0
1002,264.0
1003,26.0
1004,31.0
1005,0.0
1006,10.0
1007,11.0
1008,56.0
1009,600.0
1010,62.0
1011,0.0
1012,91.0
1013,820.0
1014,436.0
1015,0.0
1016,154.0
1017,0.0
1018,81.0
1019,10.0
1020,20.0
1021,0.0
1022,1.0
1023,5.0
1024,9.0
1025,0.0
1026,139.0
1027,160.0
1028,177.0
1029,300.0
1030,1000.0
1031,0.0
1032,489.0
1033,290.0
1034,0.0
1035,0.0
1036,24.0
1037,0.0
1038,34.0
1039,77.0
1040,278.0
1041,0.0
1042,15.0
1043,0.0
1044,0.0
1045,50.0
1046,0.0
1047,32.0
1048,25.0
1049,107.0
1050,462.0
1051,12.0
1052,0.0
1053,280.0
1054,69.0
1055,0.0
1056,0.0
1057,8.0
1058,260.0
1059,15.0
1060,2.0
1061,240.0
1062,0.0
1063,7.0
1064,0.0
1065,12.0
1066,221.0
1067,118.0
1068,24.0
1069,113.0
1070,0.0
1071,20.0
1072,0.0
1073,0.0
1074,154.0
1075,0.0
1076,87.0
1077,0.0
1078,2.0
1079,0.0
1080,1.0
1081,20.0
1082,0.0
1083,0.0
1084,19.0
1085,22.0
1086,0.0
1087,0.0
1088,0.0
1089,200.0
1090,12.0
1091,1560.0
1092,4892.0
1093,1000.0
1094,7.0
1095,10738.0
1096,30.0
1097,0.0
1098,224.0
1099,72.0
1100,0.0
1101,47.0
1102,124.0
1103,0.0
1104,18.0
1105,2.0
1106,0.0
1107,29.0
1108,33.0
1109,40.0
1110,1070.0
1111,21.0
1112,0.0
1113,0.0
1114,0.0
1115,0.0
1116,276.0
1117,3.0
1118,50.0
1119,11.0
1120,271.0
1121,29.0
1122,50.0
1123,3.0
1124,1.0
1125,24.0
1126,147.0
1127,40.0
1128,159.0
1129,0.0
1130,1.0
1131,0.0
1132,0.0
1133,0.0
1134,0.0
1135,849.0
1136,316.0
1137,3000.0
1138,0.0
1139,0.0
1140,0.0
1141,7.0
1142,3.0
1143,76.0
1144,2.0
1145,0.0
1146,24.0
1147,23.0
1148,0.0
1149,0.0
1150,269.0
1151,0.0
1152,0.0
1153,0.0
1154,0.0
1155,64.0
1156,0.0
1157,15.0
1158,800.0
1159,50.0
1160,20.0
1161,0.0
1162,72.0
1163,408.0
1164,85.0
1165,0.0
1166,62.0
1167,11.0
1168,81.0
1169,18.0
1170,58.0
1171,0.0
1172,0.0
1173,0.0
1174,0.0
1175,150.0
1176,11.0
1177,0.0
1178,2.0
1179,0.0
1180,2.0
1181,0.0
1182,0.0
1183,0.0
1184,540.0
1185,53.0
1186,269.0
1187,115.0
1188,392.0
1189,323.0
1190,0.0
1191,15.0
1192,9.0
1193,36.0
1194,13.0
1195,0.0
1196,0.0
1197,317.0
1198,300000.0
1199,0.0
1200,172.0
1201,3.0
1202,0.0
1203,10.0
1204,30.0
1205,10000.0
1206,107.0
1207,0.0
1208,407.0
1209,24.0
1210,20.0
1211,0.0
1212,29.0
1213,20.0
1214,114.0
1215,0.0
1216,0.0
1217,0.0
1218,300.0
1219,82.0
1220,26.0
1221,1027.0
1222,0.0
1223,176.0
1224,43.0
1225,20.0
1226,37.0
1227,35.0
1228,28.0
1229,39.0
1230,11.0
1231,70.0
1232,35.0
1233,90.0
1234,45.0
1235,61.0
1236,350.0
1237,21.0
1238,48.0
1239,66835.0
1240,3.0
1241,14.0
1242,3802.0
1243,15.0
1244,60.0
1245,215.0
1246,1086.0
1247,26.0
1248,11.0
1249,0.0
1250,237.0
1251,0.0
1252,100.0
1253,27.0
1254,3.0
1255,0.0
1256,163.0
1257,109.0
1258,130.0
1259,31.0
1260,0.0
1261,85.0
1262,0.0
1263,0.0
1264,51.0
1265,200.0
1266,0.0
1267,20.0
1268,400.0
1269,0.0
1270,0.0
1271,0.0
1272,115.0
1273,0.0
1274,1.0
1275,1323.0
1276,9718.0
1277,22.0
1278,135.0
1279,0.0
1280,109.0
1281,14.0
1282,0.0
1283,17.0
1284,500.0
1285,35.0
1286,0.0
1287,250.0
1288,600.0
1289,246.0
1290,100.0
1291,0.0
1292,0.0
1293,0.0
1294,935.0
1295,65.0
1296,158.0
1297,0.0
1298,112.0
1299,11.0
1300,150.0
1301,100.0
1302,0.0
1303,50.0
1304,200.0
1305,0.0
1306,70.0
1307,54.0
1308,0.0
1309,3.0
1310,0.0
1311,138.0
1312,100.0
1313,0.0
1314,78.0
1315,0.0
1316,0.0
1317,50.0
1318,180.0
1319,5057.0
1320,60.0
1321,3.0
1322,458.0
1323,80.0
1324,50.0
1325,3.0
1326,75.0
1327,672.0
1328,91.0
1329,37.0
1330,2.0
1331,3.0
1332,10000.0
1333,0.0
1334,0.0
1335,105.0
1336,100.0
1337,0.0
1338,12.0
1339,653.0
1340,435.0
1341,0.0
1342,30.0
1343,6.0
1344,10.0
1345,237.0
1346,400.0
1347,256.0
1348,4.0
1349,0.0
1350,60.0
1351,12.0
1352,427.0
1353,900.0
1354,1000.0
1355,20.0
1356,0.0
1357,0.0
1358,9.0
1359,216.0
1360,0.0
1361,21.0
1362,21.0
1363,0.0
1364,25.0
1365,500.0
1366,19.0
1367,100000.0
1368,59.0
1369,0.0
1370,5.0
1371,1.0
1372,0.0
1373,2800.0
1374,1650.0
1375,261.0
1376,0.0
1377,38.0
1378,6.0
1379,0.0
1380,101.0
1381,556.0
1382,100.0
1383,30.0
1384,474.0
1385,7.0
1386,500.0
1387,14.0
1388,3.0
1389,346.0
1390,11.0
1391,19000.0
1392,3.0
1393,111.0
1394,0.0
1395,22.0
1396,56.0
1397,50.0
1398,100.0
1399,60.0
1400,100.0
1401,0.0
1402,14.0
1403,76.0
1404,0.0
1405,28700.0
1406,300.0
1407,2500.0
1408,0.0
1409,31.0
1410,205.0
1411,121.0
1412,0.0
1413,32.0
1414,20000.0
1415,11.0
1416,390.0
1417,14.0
1418,0.0
1419,11.0
1420,1.0
1421,8000.0
1422,0.0
1423,10.0
1424,260.0
1425,20.0
1426,12.0
1427,30.0
1428,17.0
1429,108.0
1430,176.0
1431,27.0
1432,13.0
1433,0.0
1434,0.0
1435,4700.0
1436,88.0
1437,310.0
1438,94.0
1439,203.0
1440,0.0
1441,13.0
1442,0.0
1443,2.0
1444,33.0
1445,25.0
1446,30.0
1447,322.0
1448,0.0
1449,26.0
1450,20.0
1451,15.0
1452,70.0
1453,56.0
1454,118.0
1455,14.0
1456,13.0
